Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Villa de haut standing à vendre à Ain Diab Extension. Surface totale 502 m². Résidence sécurisée,8 500 000 DH,Ain Diab Extension à Casablanca,502 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,['Nouveau'],"['33.566717259839606', '-7.707777367336521']"
Superbe appartement à vendre à Ahl Loghlam Hay Assalam. Surface totale 67 m²,250 000 DH,Ahl Loghlam (Hay Assalam) à Casablanca,67 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['33.584160657707265', '-7.4720374126302715']"
Un studio à vendre au quartier princesse,1 000 000 DH,Les princesses à Casablanca,45 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['33.53595755299843', '-7.625627517700195']"
Appartement de 117m en vente avec place de parking,1 540 000 DH,Belvédère à Casablanca,117 m²,5 Pièces,3 Chambres,2 Salles de bains,2ème étage,['Nouveau'],"['33.58529858553826', '-7.598934731436941']"
Appartement à vendre à Californie. Surface de 84 m²,1 400 000 DH,Californie à Casablanca,84 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.53987541731726', '-7.615247413004017']"
Bel appartement à vendre à Californie. 3 belles chambres,1 520 000 DH,Californie à Casablanca,101 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['33.53987541731726', '-7.615247413004017']"
Appartement à l'achat à Californie. Superficie 198 m²,2 502 360 DH,Californie à Casablanca,198 m²,Not specified,3 Chambres,3 Salles de bains,Not specified,[],"['33.524709493386695', '-7.607078248528126']"
Appartement à l'achat à Oasis. Surface totale 110 m²,17 000 DH,Oasis à Casablanca,110 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['33.55702447218315', '-7.6348114013671875']"
"Appartement de 54m² en vente, AL ARSAT ESSALAM",250 000 DH,Oulfa à Casablanca,54 m²,3 Pièces,2 Chambres,1 Salle de bain,Not specified,"['Nouveau', ""Moins d'un an""]","['33.5351789971536', '-7.7105367532400635']"
"Appartement 119 m² garage titré, Bourgogne Est",1 350 000 DH,Bourgogne Est à Casablanca,119 m²,3 Pièces,2 Chambres,2 Salles de bains,7ème étage,"['Bon état', '20-30 ans']","['33.59424563181959', '-7.610692977905273']"
Vend appartement à Oasis. Superficie 167 m²,17 000 DH,Oasis à Casablanca,167 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['33.55702447218315', '-7.6348114013671875']"
Vend appartement à Hay Hassani. 2 chambres,1 004 850 DH,Hay Hassani à Casablanca,80 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Vente d'un bel appartement à Hay Hassani. Surface de 79 m²,960 750 DH,Hay Hassani à Casablanca,79 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Vend appartement à Hay Hassani. Superficie 70 m²,887 250 DH,Hay Hassani à Casablanca,70 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Appartement à l'achat à Hay Hassani. 2 chambres agréables,887 250 DH,Hay Hassani à Casablanca,70 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Superbe appartement à vendre à Hay Hassani. 2 belles chambres,919 800 DH,Hay Hassani à Casablanca,72 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Bel appartement à vendre à Hay Hassani. 3 belles chambres,1 174 950 DH,Hay Hassani à Casablanca,97 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Appartement en vente à Hay Hassani. Superficie 97 m²,1 089 900 DH,Hay Hassani à Casablanca,97 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Appartement à l'achat à Hay Hassani. 3 chambres,1 089 900 DH,Hay Hassani à Casablanca,97 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Vente d'un bel appartement à Hay Hassani. 3 chambres,1 314 600 DH,Hay Hassani à Casablanca,109 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Bel appartement à vendre à Hay Hassani. 2 chambres agréables,786 450 DH,Hay Hassani à Casablanca,70 m²,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['33.56656798464229', '-7.672726966850093']"
Appartement à vendre 2 Mars Résidence MIRBEL,1 038 000 DH,Maârif Extension à Casablanca,62 m²,2 Pièces,2 Chambres,1 Salle de bain,4ème étage,"['Nouveau', ""Moins d'un an""]","['33.579846716070314', '-7.615215831961956']"
Appartement de 101m² en vente Résidence Ô Maarif,1 940 750 DH,Maârif à Casablanca,101 m²,3 Pièces,2 Chambres,2 Salles de bains,2ème étage,['Nouveau'],"['33.585022287183484', '-7.635658979415922']"
Appartement a vendre,1 000 000 DH,Oulfa à Casablanca,100 m²,4 Pièces,3 Chambres,1 Salle de bain,1er étage,"['Nouveau', '1-5 ans']","['33.547117579470296', '-7.675495147705078']"
Immeuble 2 étages avec magasin commercial,3 500 000 DH,Sidi Maarouf à Casablanca,124 m²,7 Pièces,4 Chambres,2 Salles de bains,Not specified,['Bon état'],"['33.53093097863175', '-7.648627406416351']"
Vente d'un bel appartement à Hay Chrifa. Superficie 85 m². Bien meublé,900 000 DH,Hay Chrifa à Casablanca,85 m²,1 Pièce,2 Chambres,2 Salles de bains,2ème étage,"['Bon état', '10-20 ans']","['33.53166230979481', '-7.604840764068664']"
Trè bel appartement avec très bon prix à vendre,1 500 000 DH,Derb Ghalef à Casablanca,119 m²,3 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '5-10 ans']","['33.59828500323537', '-7.646913528442383']"
"Bel appartement à vendre à Franceville Bd. Abdelmoumen. Surface de 118 m². Salon traditionnel marocain, résidence sécurisée",1 400 000 DH,Franceville à Casablanca,118 m²,5 Pièces,3 Chambres,2 Salles de bains,4ème étage,"['Bon état', '10-20 ans']","['33.57073423833079', '-7.626486782972344']"
Appartement rénové à vendre sur la corniche de Casablanca,2 850 000 DH,El Manar - El Hank à Casablanca,125 m²,5 Pièces,3 Chambres,3 Salles de bains,7ème étage,"['Nouveau', '1-5 ans']","['33.6043973205702', '-7.645711898803714']"
Unique appartement impasse de prestige racine,2 840 000 DH,Maârif à Casablanca,137 m²,4 Pièces,3 Chambres,2 Salles de bains,2ème étage,"['Bon état', '20-30 ans']","['33.58639691008335', '-7.643784168520998']"
Maison R2 avec garage ou commerce,1 850 000 DH,Oulfa à Casablanca,185 m²,7 Pièces,4 Chambres,1 Salle de bain,Not specified,"['Bon état', '20-30 ans']","['33.552714934634814', '-7.6888096332549996']"
H'mza: 3 chambres 205 m² dont 145 m² habitable,1 680 000 DH,Maârif Extension à Casablanca,205 m²,5 Pièces,3 Chambres,2 Salles de bains,1er étage,"['Bon état', '10-20 ans']","['33.582714714338245', '-7.64649144623053']"
Appartement en vente à Oasis. 2 belles chambres,17 000 DH,Oasis à Casablanca,101 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['33.55702447218315', '-7.6348114013671875']"
