Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Vente d'un bel appartement à Yacoub Al Mansour. 3 chambres agréables,2 200 000 DH,Hay Ach-chbanat à Rabat,112 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Villa à usage commercial en vente,13 800 000 DH,Souissi à Rabat,1002 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Nouveau', '20-30 ans']","['33.956353735305164', '-6.836199760437012']"
Appartement à vendre à Yacoub Al Mansour. 2 chambres,1 500 000 DH,Hay Al Massira à Rabat,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Appartement en vente à Yacoub Al Mansour. Surface totale 100 m²,1 500 000 DH,Hay Al Massira à Rabat,100 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Superbe appartement à vendre à Yacoub Al Mansour. Surface de 114 m²,2 500 000 DH,Hay Al Massira à Rabat,114 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Bel appartement à vendre à Yacoub Al Mansour. 2 belles chambres,1 300 000 DH,Hay Al Massira à Rabat,90 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Vend appartement à Yacoub Al Mansour. 2 belles chambres,1 570 000 DH,Hay Al Massira à Rabat,97 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['33.99065592446528', '-6.884678253735956']"
Penthouse à vendre à Riyad. Ascenseur et terrasse,9 000 000 DH,Riyad à Rabat,707 m²,4 Pièces,3 Chambres,3 Salles de bains,5ème étage,"['Nouveau', '10-20 ans']","['33.958311531468844', '-6.870403289794922']"
Villa à vendre,9 500 000 DH,Riyad à Rabat,1000 m²,11 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['33.98161168590123', '-6.8646525498479605']"
Luxueuse villa en vente hay riad secteur 15,12 400 000 DH,Riyad à Rabat,480 m²,7 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['33.95219761425652', '-6.876840067441015']"
