Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Bouskoura golf appartement à louer,18 000 DH,Bouskoura,250 m²,7 Pièces,4 Chambres,3 Salles de bains,Not specified,['Nouveau'],"['33.44032295498702', '-7.643909454345703']"
"Appartement 2 chambres entièrement rénové, Racine",7 800 DH,Racine Extension à Casablanca,68 m²,3 Pièces,2 Chambres,2 Salles de bains,3ème étage,"['Nouveau', ""Moins d'un an""]","['33.59247253694351', '-7.6444072726008025']"
Superbe 4 chambres meublé avec vue sur jardin,18 500 DH,Triangle d'Or à Casablanca,180 m²,7 Pièces,4 Chambres,2 Salles de bains,3ème étage,"['Bon état', '10-20 ans']","['33.5879173132293', '-7.636374297369626']"
Grand studio meublé à louer Maarif 50 m²,7 000 DH,Les princesses à Casablanca,50 m²,1 Pièce,1 Chambre,1 Salle de bain,4ème étage,"['Nouveau', ""Moins d'un an""]","['33.578110144794124', '-7.647230821444322']"
Studio neuf meublé à louer CFC,10 000 DH,Casablanca Finance City à Casablanca,68 m²,2 Pièces,1 Chambre,2 Salles de bains,Not specified,['Nouveau'],"['33.547117579470296', '-7.675495147705078']"
Très bel studio sur Gauthier,7 000 DH,Gauthier à Casablanca,65 m²,2 Pièces,1 Chambre,1 Salle de bain,1er étage,"['Bon état', '1-5 ans']","['33.44032295498702', '-7.643909454345703']"
Charmant studio b living palmier dernier étage,8 000 DH,Palmier à Casablanca,39 m²,2 Pièces,1 Chambre,1 Salle de bain,5ème étage,"['Nouveau', ""Moins d'un an""]","['33.58157761403748', '-7.626585765573994']"
Studio individuel meublé pour les étudiants,1 400 DH,Smaâla à Settat,23 m²,1 Pièce,Not specified,1 Salle de bain,Not specified,['Nouveau'],"['33.02913677099996', '-7.614215830675487']"
Belle villa moderne vide bouskoura,25 000 DH,Bouskoura,755 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['32.34023266790936', '-7.437744140625001']"
Appartement meublé terrasse panoramique vue océan,11 000 DH,Casablanca Finance City à Casablanca,76 m²,2 Pièces,1 Chambre,1 Salle de bain,10ème étage,"['Nouveau', ""Moins d'un an""]","['33.564836658771966', '-7.658238731219577']"
Superbe appartement terrasse vue océan piscine,12 000 DH,Dar Bouazza,170 m²,6 Pièces,3 Chambres,2 Salles de bains,2ème étage,"['Bon état', '1-5 ans']","['33.53414072661417', '-7.7683761063963175']"
Sublime penthouse meublé avec terrasse panoramique,30 000 DH,Palmier à Casablanca,256 m²,6 Pièces,3 Chambres,2 Salles de bains,7ème étage,"['Nouveau', '10-20 ans']","['33.58055503516882', '-7.626821371605825']"
Superbe f2 neuf terrasse vue parc résidence fermée,8 900 DH,Casablanca Finance City à Casablanca,70 m²,2 Pièces,1 Chambre,1 Salle de bain,12ème étage,"['Nouveau', ""Moins d'un an""]","['33.547117579470296', '-7.675495147705078']"
Superbe meublé neuf avec terrasse,9 900 DH,Casablanca Finance City à Casablanca,64 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,"['Nouveau', ""Moins d'un an""]","['33.559436984408194', '-7.65302724517509']"
Appartement 3 chambres meublé à louer,20 500 DH,Casablanca Finance City à Casablanca,135 m²,4 Pièces,3 Chambres,3 Salles de bains,Not specified,['Nouveau'],"['33.547117579470296', '-7.675495147705078']"
Appartement à louer à La Gironde. 2 chambres agréables. Bien meublé,6 750 DH,La Gironde à Casablanca,95 m²,3 Pièces,2 Chambres,1 Salle de bain,3ème étage,"['Bon état', '5-10 ans']","['33.58452712540987', '-7.600433906659471']"
Bel appartement côté bd elmassira,8 500 DH,Racine à Casablanca,145 m²,4 Pièces,3 Chambres,3 Salles de bains,2ème étage,"['Bon état', '5-10 ans']","['33.592458238962855', '-7.648158073425293']"
Studio neuf à louer sur CFC,9 900 DH,Casablanca Finance City à Casablanca,58 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['33.547117579470296', '-7.675495147705078']"
Loue appartement porte Californie résidence le lac,6 000 DH,Californie à Casablanca,120 m²,4 Pièces,3 Chambres,2 Salles de bains,2ème étage,"['Bon état', '5-10 ans']","['33.53575093967349', '-7.626243041266976']"
Studio meublé à louer Palmier,7 200 DH,Palmier à Casablanca,55 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['33.57243690885356', '-7.657556533813477']"
Studio meublé avec terasse à louer quartier CFC,9 500 DH,Casablanca Finance City à Casablanca,66 m²,2 Pièces,1 Chambre,2 Salles de bains,Not specified,['Nouveau'],"['33.57154299116339', '-7.636313438415527']"
Appartement meublé location cfc,12 000 DH,Casablanca Finance City à Casablanca,110 m²,4 Pièces,2 Chambres,2 Salles de bains,3ème étage,"['Nouveau', ""Moins d'un an""]","['33.5585265011327', '-7.605092525482178']"
Bel appartement meublé à racine,9 500 DH,Racine à Casablanca,100 m²,2 Pièces,2 Chambres,2 Salles de bains,5ème étage,"['Bon état', '5-10 ans']","['33.582734173084866', '-7.675838470458984']"
"Appartement à louer à Al Mostakbal, Sidi Maarouf",2 900 DH,Sidi Maarouf à Casablanca,50 m²,3 Pièces,2 Chambres,2 Salles de bains,3ème étage,"['Bon état', '10-20 ans']","['33.51821300640254', '-7.644338607788086']"
Louez cet appartement à Aïn Sebaâ. 2 chambres. Jardin et terrasse,4 800 DH,Aïn Sebaâ à Casablanca,81 m²,5 Pièces,2 Chambres,2 Salles de bains,1er étage,"['Bon état', '1-5 ans']","['33.611688641154686', '-7.538852691650391']"
Studio meuble,2 850 DH,Casablanca Marina à Casablanca,22 m²,1 Pièce,1 Chambre,1 Salle de bain,4ème étage,"['Bon état', '30-50 ans']","['33.59424563181959', '-7.610692977905273']"
Appartement haut standing La Siesta Beach Resort,5 200 DH,La Siesta à Mohammedia,92 m²,2 Pièces,1 Chambre,1 Salle de bain,4ème étage,"['Bon état', '1-5 ans']","['33.714373465624256', '-7.34684944152832']"
