Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Appartement à vendre à Samlalia. Superficie 43 m²,537 500 DH,Samlalia à Marrakech,43 m²,Not specified,1 Chambre,1 Salle de bain,Not specified,[],"['31.648917881447254', '-8.010287791681439']"
Superbe appartement à vendre à Samlalia. 1 belle chambre,500 000 DH,Samlalia à Marrakech,40 m²,Not specified,1 Chambre,1 Salle de bain,Not specified,[],"['31.648917881447254', '-8.010287791681439']"
Somptueuse villa à vendre à Route Amizmiz. Superficie 1000 m²,4 900 000 DH,Route Amizmiz à Marrakech,1000 m²,5 Pièces,4 Chambres,4 Salles de bains,Not specified,['Nouveau'],"['31.539041642786586', '-8.128337860107422']"
Vente riad rénové de 450m² hab avec 3 patios à rahba lakdima marrakech médina,650 000 EUR,Marrakech,260 m²,Not specified,5 Chambres,4 Salles de bains,Not specified,[],"['31.635808237342818', '-8.00055742263794']"
Fort potentiel. Riad maison d’hôte de 1300m² habit avec 7 suites et piscine à kasbah marrakech médina,1 450 000 EUR,Marrakech,526 m²,Not specified,7 Chambres,7 Salles de bains,Not specified,[],"['31.635808237342818', '-8.00055742263794']"
Vente riad renove titre de 400m² habi avec 4 chambres à mouassine marrakech medina,730 000 EUR,Mouassine à Marrakech,235 m²,7 Pièces,4 Chambres,4 Salles de bains,Not specified,['Bon état'],"['31.629340769909852', '-7.992253303527832']"
Riad maison d’hôte de 145m² avec 5 chambres situé à riad laarous marrakech médina,550 000 EUR,Sidi Bou Amar à Marrakech,145 m²,6 Pièces,5 Chambres,4 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Vente riad maison d’hôte de 7 chambres avec piscine àzaouia abbassia marrakech médina,500 000 EUR,Kaa El Machraa à Marrakech,190 m²,8 Pièces,7 Chambres,7 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Vente riad de 170m² habit avec 4 chambres a ben saleh marrakech medina,300 000 EUR,Ben Saleh à Marrakech,94 m²,8 Pièces,4 Chambres,4 Salles de bains,Not specified,['Bon état'],"['31.66255027549725', '-8.025984764099121']"
Vente riad maison d’hote avec jacuzzi de 284m² habit avec 6 chambres a sidi mimoune marrakech medina,650 000 EUR,Sidi Mimoun à Marrakech,178 m²,12 Pièces,6 Chambres,6 Salles de bains,Not specified,['Bon état'],"['31.598166388044508', '-7.958993911743164']"
Superbe appartement à vendre à Mhamid. Surface de 65 m²,260 000 DH,Mhamid à Marrakech,65 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Vente riad maison d’hote renovee titree de 320m² hab avec 5 chambres à derb dabachi marrakech medina,680 000 EUR,Marrakech,200 m²,Not specified,5 Chambres,5 Salles de bains,Not specified,[],"['31.635808237342818', '-8.00055742263794']"
En excluvisité: riad maison d’hôte avec piscine et spa de 7 chambres à assouel marrakech médina,745 000 EUR,Assouel à Marrakech,160 m²,9 Pièces,7 Chambres,7 Salles de bains,Not specified,['Bon état'],"['31.631788960193823', '-8.003067970275879']"
Appartement à vendre à Mhamid. 2 chambres,288 000 DH,Mhamid à Marrakech,64 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Riad maison d’hôte avec piscine de 296m² hab avec 3 chambres a asseoual marrakec medina,520 000 EUR,Assouel à Marrakech,185 m²,8 Pièces,3 Chambres,3 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Vente magnifique riad maison d’hôte de 6 chambres et piscine à zaouia al abbassia marrakech médina,420 000 EUR,Kaa El Machraa à Marrakech,173 m²,8 Pièces,6 Chambres,6 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Appartement à vendre à Mhamid. Surface totale 62 m²,279 000 DH,Mhamid à Marrakech,62 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Riad maison d’hôte de 204m² au sol et 360m² habi avec 5 chambres situé à mouassine marrakech médina,490 000 EUR,Mouassine à Marrakech,204 m²,6 Pièces,5 Chambres,7 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Vente riad de 8 chambres avec piscine à azbezt marrakech médina,900 000 EUR,Mouassine à Marrakech,260 m²,10 Pièces,9 Chambres,6 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Superbe appartement à vendre à Mhamid. 2 chambres agréables,272 000 DH,Mhamid à Marrakech,68 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
8 appartements avec fort rendement locatif à Kaat Benahid Marrakech médina,180 000 EUR,Kaat Ben Nahid à Marrakech,94 m²,12 Pièces,10 Chambres,2 Salles de bains,Not specified,['Bon état'],"['31.631387022926283', '-7.988390922546387']"
Vente riad maison d’hote de 345m² habit avec 6 chambres a brima marrakech medina,600 000 EUR,Berrima à Marrakech,217 m²,12 Pièces,6 Chambres,6 Salles de bains,Not specified,['Bon état'],"['31.61589284467345', '-7.983434200286865']"
Local commercial à l'achat,220 000 DH,Mhamid à Marrakech,55 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,['Nouveau'],"['31.65261504148606', '-8.069194200164352']"
"Villa Jumelée de 459 m² en vente, Black Emeraude",3 602 940 DH,Route Amizmiz à Marrakech,459 m²,10 Pièces,3 Chambres,4 Salles de bains,Not specified,['Nouveau'],"['31.539041642786586', '-8.128337860107422']"
Charmant Riad De 5 Chambres De 140m² Habitable,380 000 EUR,Moulay Lyazid à Marrakech,140 m²,6 Pièces,5 Chambres,4 Salles de bains,Not specified,['Bon état'],"['31.61589284467345', '-7.983434200286865']"
Hivernage Appt de 67 m2 avec parking,1 150 000 DH,Hivernage à Marrakech,67 m²,2 Pièces,1 Chambre,1 Salle de bain,4ème étage,['Bon état'],"['31.624590366166395', '-8.01229476928711']"
Joli appartement au coeur de Gueliz,1 300 000 DH,Guéliz à Marrakech,85 m²,3 Pièces,2 Chambres,2 Salles de bains,2ème étage,"['Bon état', '5-10 ans']","['31.635077472598304', '-8.010320663452148']"
"Villa à vendre à Route de Tahanaout. Surface totale 450 m², résidence golfique sécurisée",4 950 000 DH,Route de Tahanaout à Marrakech,450 m²,8 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['36.859673', '10.134291']"
"Super Riad Titré, Fonctionnel et Meublé de 164m²",270 000 EUR,Moulay Lyazid à Marrakech,164 m²,5 Pièces,4 Chambres,5 Salles de bains,Not specified,"['Nouveau', '1-5 ans']","['31.61589284467345', '-7.983434200286865']"
Appartement à vendre à Route Casablanca. 3 grandes pièces. Meublé.,650 000 DH,Route de Safi à Marrakech,82 m²,3 Pièces,2 Chambres,1 Salle de bain,4ème étage,['Bon état'],"['31.725946130725365', '-7.975951643893495']"
Charmante maison mitoyenne route de fez,1 200 000 DH,Route de Fez à Marrakech,130 m²,4 Pièces,3 Chambres,1 Salle de bain,Not specified,['Bon état'],"['31.64622101102246', '-7.8497314453125']"
Appartement en vente à Guéliz. Surface totale 78 m². Jardin et ascenseur.,694 200 DH,Guéliz à Marrakech,78 m²,3 Pièces,2 Chambres,1 Salle de bain,2ème étage,"['Nouveau', '1-5 ans']","['31.58144041874851', '-7.979218371190518']"
En exclusivite: vente joli riad titre de 160m² hab de 4 chambres à kasbah marrakech médina,195 000 EUR,Moulay Lyazid à Marrakech,80 m²,5 Pièces,4 Chambres,3 Salles de bains,Not specified,['Bon état'],"['31.61589284467345', '-7.983434200286865']"
Appartement de 74 m² en vente Résidence Riad Garden,1 480 000 DH,Agdal à Marrakech,74 m²,2 Pièces,1 Chambre,1 Salle de bain,Not specified,['Nouveau'],"['31.590818970561372', '-7.989892959594613']"
Appartement de 72m² en vente Dyour Al Masjid,250 000 DH,Mhamid à Marrakech,72 m²,4 Pièces,3 Chambres,1 Salle de bain,Not specified,['Nouveau'],"['31.570355927933853', '-8.061234718922629']"
Superbe appartement à vendre à Riad Al Atlas. 2 chambres,1 020 000 DH,Riad Al Atlas à Marrakech,80 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['31.581944637861028', '-7.990016341209326']"
Appartement à vendre à Agdal. 3 chambres,2 550 000 DH,Agdal à Marrakech,138 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['31.590818970561372', '-7.989892959594613']"
Vend appartement à Mhamid. 2 chambres,252 000 DH,Mhamid à Marrakech,63 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Superbe appartement à vendre à Mhamid. 2 chambres,276 000 DH,Mhamid à Marrakech,69 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Vente d'un bel appartement à Mhamid. Surface totale 77 m²,308 000 DH,Mhamid à Marrakech,77 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Vente riad renove de 350 m² hab avec bassin et 8 chambres à zaouia abbassia marrakech médina,490 000 EUR,Marrakech,213 m²,Not specified,8 Chambres,Not specified,Not specified,[],"['31.635808237342818', '-8.00055742263794']"
Vente riad meublé de 5 chambres avec 2 piscines à laksour marrakech médina,350 000 EUR,Mouassine à Marrakech,104 m²,Not specified,5 Chambres,5 Salles de bains,Not specified,[],"['31.629340769909852', '-7.992253303527832']"
Magnifique villa à vendre à Route Amizmiz. Superficie 253 m²,3 350 000 DH,Route Amizmiz à Marrakech,253 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['31.54777682847056', '-8.024113206247335']"
Une magnifique résidence,220 000 EUR,Hivernage à Marrakech,Not specified,Not specified,2 Chambres,2 Salles de bains,Not specified,[],"['31.624590366166395', '-8.01229476928711']"
Investissez dans le confort villa de charme à Marrakech,3 200 000 DH,Route de Tahanaout à Marrakech,248 m²,6 Pièces,5 Chambres,4 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Maison de haut standing à vendre à Route Amizmiz. 3 belles chambres,4 250 000 DH,Route Amizmiz à Marrakech,302 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['31.54777682847056', '-8.024113206247335']"
Villa Camiya de luxe à vendre à Marrakech,3 200 000 DH,Route de Tahanaout à Marrakech,300 m²,6 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Villa avec piscine vue panoramique,3 200 000 DH,Route de Tahanaout à Marrakech,250 m²,7 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Magnifique villa à vendre à Route Amizmiz. Surface de 301 m²,4 250 000 DH,Route Amizmiz à Marrakech,301 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['31.54777682847056', '-8.024113206247335']"
Magnifique villa de prestige à Marrakech à vendre,3 200 000 DH,Route de Tahanaout à Marrakech,251 m²,5 Pièces,4 Chambres,4 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Explorez le Luxe Absolu avec les villas azure,5 060 000 DH,Route de Tahanaout à Marrakech,454 m²,6 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Villa de haut standing à vendre à Route Amizmiz. 3 chambres agréables,3 350 000 DH,Route Amizmiz à Marrakech,254 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['31.54777682847056', '-8.024113206247335']"
Villa Vue Atlas à vendre à Marrakech,6 030 000 DH,Route de Tahanaout à Marrakech,559 m²,6 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Villa Azure: Votre Résidence de Prestige,6 210 000 DH,Route de Tahanaout à Marrakech,608 m²,7 Pièces,5 Chambres,5 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
"Appartement à vendre 75 m², 3 chambres et salon",608 000 DH,Mhamid à Marrakech,75 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['31.57860854759723', '-8.058171272277832']"
Logement d'exception à Mhamid,250 000 DH,Mhamid à Marrakech,52 m²,3 Pièces,2 Chambres,1 Salle de bain,Not specified,"['Nouveau', ""Moins d'un an""]","['31.63730628711834', '-8.053836822509766']"
Appartement spacieux a vendre,550 000 DH,Guéliz à Marrakech,110 m²,5 Pièces,3 Chambres,2 Salles de bains,4ème étage,"['Bon état', '10-20 ans']","['31.633732976277944', '-8.027781666348076']"
Villa 5 suites à vendre route de l'Ourika VE23130,9 000 000 DH,Route de l'Ourika à Marrakech,400 m²,7 Pièces,5 Chambres,6 Salles de bains,Not specified,"['Bon état', ""Moins d'un an""]","['31.504507459866005', '-7.985343933105469']"
Appartement 2 chambres route de fès REF: VE23008,1 260 000 DH,Route de Fez à Marrakech,87 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,"['Bon état', '1-5 ans']","['31.64622101102246', '-7.8497314453125']"
Programme neuf 10 villas avec ascenceur VEPN23045,8 950 000 DH,Route Amizmiz à Marrakech,579 m²,6 Pièces,4 Chambres,3 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.539041642786586', '-8.128337860107422']"
Appartement 3 chambres piscine salle de sport VE23063,1 250 000 DH,Route Casablanca à Marrakech,98 m²,4 Pièces,3 Chambres,2 Salles de bains,3ème étage,"['Bon état', '1-5 ans']","['31.756137873298158', '-7.978477478027344']"
Magnifique Appartement 2 chambres à Vendre VE23110,1 500 000 DH,Ennakhil (Palmeraie) à Marrakech,130 m²,3 Pièces,2 Chambres,2 Salles de bains,1er étage,"['Bon état', '5-10 ans']","['31.646805553219806', '-7.957878112792969']"
Appartement Prestigia 3 chambres très belle vue,2 200 000 DH,Boulevard Med 6 à Marrakech,96 m²,4 Pièces,3 Chambres,2 Salles de bains,2ème étage,"['Nouveau', '1-5 ans']","['31.642567539017598', '-8.007831573486328']"
"Villa Isolée de 891m² en vente, Black Emeraude",6 226 320 DH,Route Amizmiz à Marrakech,891 m²,13 Pièces,5 Chambres,4 Salles de bains,Not specified,['Nouveau'],"['31.539041642786586', '-8.128337860107422']"
Duplex 180 m² à vendre ROUTE DE FEZ Marrakech,1 100 000 DH,Route de Fez à Marrakech,180 m²,9 Pièces,3 Chambres,2 Salles de bains,Not specified,"['Bon état', '5-10 ans']","['31.64622101102246', '-7.8497314453125']"
Superbe appartement à vendre à Mhamid. 2 belles chambres,264 000 DH,Mhamid à Marrakech,66 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Appartement en vente à Mhamid. 2 chambres,276 000 DH,Mhamid à Marrakech,69 m²,Not specified,2 Chambres,1 Salle de bain,Not specified,[],"['31.65261504148606', '-8.069194200164352']"
Appartement en vente. Surface de 56 m²,316 000 DH,Mhamid à Marrakech,79 m²,1 Pièce,2 Chambres,1 Salle de bain,Not specified,['Nouveau'],"['31.65261504148606', '-8.069194200164352']"
Appartements et commerces,370 200 DH,Mhamid à Marrakech,93 m²,3 Pièces,2 Chambres,1 Salle de bain,Not specified,"['Nouveau', ""Moins d'un an""]","['31.65261504148606', '-8.069194200164352']"
Villa Nexus de luxe à vendre à Marrakech,5 130 000 DH,Route de Tahanaout à Marrakech,394 m²,6 Pièces,5 Chambres,6 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Villa Nexus de haut standing à vendre à Marrakech,5 130 000 DH,Route de Tahanaout à Marrakech,393 m²,6 Pièces,5 Chambres,6 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
Villa de Rêve avec Vue Imprenable à Marrakech,5 650 000 DH,Route de Tahanaout à Marrakech,455 m²,6 Pièces,5 Chambres,6 Salles de bains,Not specified,"['Nouveau', ""Moins d'un an""]","['31.546225', '-8.003641']"
