Title,Price,Neighborhood,Size,Rooms,Bedrooms,Bathrooms,Floors,Additional Information,Location
Vente d'un bel appartement à Tanja Balia. Surface de 138 m²,1 656 000 DH,Tanja Balia à Tanger,138 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.7658872710907', '-5.763058662414551']"
Superbe appartement à vendre à Boukhalef. 2 chambres,250 000 DH,Boukhalef à Tanger,53 m²,3 Pièces,2 Chambres,1 Salle de bain,Not specified,['Nouveau'],"['35.74263521116069', '-5.889247662340068']"
Appartement en vente à View tower. 2 belles chambres,2 180 000 DH,Tanger City Center à Tanger,88 m²,4 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.773504941129744', '-5.787048178048849']"
Bel appartement à vendre à Tanja Balia. 3 belles chambres,1 152 000 DH,Tanja Balia à Tanger,96 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.7658872710907', '-5.763058662414551']"
Vente d'un bel appartement à Tanja Balia. 3 belles chambres,1 188 000 DH,Tanja Balia à Tanger,99 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.7658872710907', '-5.763058662414551']"
Superbe appartement à vendre en Centre. Superficie 142 m²,2 980 000 DH,Centre à Tanger,142 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.783888220852646', '-5.804686546325684']"
Bel appartement à vendre à View Tower. 2 chambres,1 960 000 DH,Tanger City Center à Tanger,89 m²,3 Pièces,2 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.773504941129744', '-5.787048178048849']"
Bel appartement à vendre à Mesnana. Surface totale 118 m²,1 239 000 DH,Mesnana à Tanger,118 m²,4 Pièces,3 Chambres,2 Salles de bains,Not specified,['Nouveau'],"['35.76421144915879', '-5.856657028198072']"
Vend appartement à Mesnana. 3 chambres agréables,1 107 000 DH,Mesnana à Tanger,111 m²,Not specified,3 Chambres,2 Salles de bains,Not specified,[],"['35.76421144915879', '-5.856657028198072']"
Appartement de 115m² en vente Les Jardins de Mesnana Golf,1 207 500 DH,Mesnana à Tanger,115 m²,4 Pièces,3 Chambres,2 Salles de bains,2ème étage,['Nouveau'],"['35.76421144915879', '-5.856657028198072']"
Appartement de 111m² en vente Les Jardins de Mesnana Golf,1 107 000 DH,Mesnana à Tanger,111 m²,4 Pièces,3 Chambres,2 Salles de bains,2ème étage,['Nouveau'],"['35.76421144915879', '-5.856657028198072']"
